source_id,team_fifa_code,name,position
5457,ENG,Dean Henderson,Goalkeeper
8215,ENG,Declan Rice,Midfield
80775,ENG,Djed Spence,Defence
4032,ENG,Eberechi Eze,Midfield
107330,ENG,Elliot Anderson,Midfield
6317,ENG,Ezri Konsa,Defence
8004,ENG,Harry Kane,Offence
5453,ENG,Ivan Toney,Offence
153874,ENG,James Trafford,Goalkeeper
176718,ENG,Jarell Quansah,Defence
3313,ENG,John Stones,Defence
3320,ENG,Jordan Henderson,Midfield
3309,ENG,Jordan Pickford,Goalkeeper
125010,ENG,Jude Bellingham,Midfield
190797,ENG,Kobbie Mainoo,Midfield
118489,ENG,Marc Guéhi,Defence
3331,ENG,Marcus Rashford,Offence
82140,ENG,Morgan Rogers,Midfield
206743,ENG,Nico O'Reilly,Defence
167720,ENG,Noni Madueke,Offence
4444,ENG,Ollie Watkins,Offence
56628,ENG,Reece James,Defence
168712,ENG,Valentino Livramento,Defence
16739,ESP,Alejandro Grimaldo,Defence
7884,ESP,Aymeric Laporte,Defence
32056,ESP,Borja Iglesias,Offence
15863,ESP,Cucurella,Defence
23132,ESP,Dani Olmo,Midfield
4832,ESP,David Raya,Goalkeeper
101345,ESP,Eric García,Defence
22,ESP,Fabián Ruiz,Midfield
33154,ESP,Ferrán Torres,Midfield
152506,ESP,Joan García,Goalkeeper
202283,ESP,Lamine Yamal,Offence
176745,ESP,Marc Pubill,Defence
70,ESP,Marcos Llorente,Midfield
115035,ESP,Martín Zubimendi,Midfield
7935,ESP,Mikel Merino,Midfield
180137,ESP,Mikel Oyarzabal,Midfield
157135,ESP,Nico Williams,Offence
171992,ESP,Pablo Gavira,Midfield
217540,ESP,Pau Cubarsí,Defence
133860,ESP,Pedri,Midfield
81037,ESP,Pedro Porro,Defence
3199,ESP,Rodri,Midfield
32570,ESP,Unai Simón,Goalkeeper
273423,ESP,Víctor Muñoz,Offence
152505,ESP,Yeremi Pino,Offence
213278,ESP,Álex Baena,Midfield
3368,FRA,Adrien Rabiot,Midfield
8514,FRA,Aurélien Tchouameni,Midfield
172762,FRA,Bradley Barcola,Offence
8316,FRA,Brice Samba,Goalkeeper
9541,FRA,Dayot Upamecano,Defence
177522,FRA,Desire Doue,Midfield
9542,FRA,Ibrahima Konaté,Defence
641,FRA,Jean-Philippe Mateta,Offence
8499,FRA,Jules Koundé,Defence
3374,FRA,Kylian Mbappé,Offence
3359,FRA,Lucas Digne,Defence
3365,FRA,Lucas Hernández,Defence
175701,FRA,Maghnes Akliouche,Midfield
152498,FRA,Malo Gusto,Defence
102395,FRA,Manu Koné,Midfield
8685,FRA,Marcus Thuram-Ulien,Offence
82351,FRA,Maxence Lacroix,Defence
113765,FRA,Michael Olise,Offence
8390,FRA,Mike Maignan,Goalkeeper
3367,FRA,N'Golo Kanté,Midfield
3373,FRA,Ousmane Dembélé,Offence
133242,FRA,Rayan Cherki,Midfield
188389,FRA,Robin Risser,Goalkeeper
71,FRA,Theo Hernández,Defence
186089,FRA,Warren Zaïre-Emery,Midfield
80171,FRA,William Saliba,Defence
202665,GER,Aleksandar Pavlović,Midfield
6491,GER,Alexander Nübel,Goalkeeper
128565,GER,Angelo Stiller,Midfield
3177,GER,Antonio Rüdiger,Defence
212636,GER,Assan Ouédraogo,Midfield
9905,GER,David Raum,Defence
6928,GER,Deniz Undav,Offence
101074,GER,Felix Kalu Nmecha,Midfield
19334,GER,Florian Wirtz,Midfield
144393,GER,Jamal Musiala,Midfield
123333,GER,Jamie Leweling,Offence
149,GER,Jonathan Tah,Defence
359,GER,Joshua Kimmich,Midfield
171,GER,Kai Havertz,Offence
3181,GER,Leon Goretzka,Midfield
3184,GER,Leroy Sané,Offence
142732,GER,Malick Thiaw,Defence
341,GER,Manuel Neuer,Goalkeeper
133903,GER,Maximilian Beier,Offence
320,GER,Nadiem Amiri,Midfield
184533,GER,Nathaniel Brown,Defence
133547,GER,Nick Woltemade,Offence
75539,GER,Nico Schlotterbeck,Defence
316,GER,Oliver Baumann,Goalkeeper
8273,GER,Pascal Groß,Midfield
379,GER,Waldemar Anton,Defence
187162,GHA,Abdul Issahaku,Offence
25641,GHA,Abdul Mumin,Defence
6499,GHA,Abdul Rahman Baba,Defence
147893,GHA,Alidu Seidu,Defence
4417,GHA,Antoine Semenyo,Offence
175747,GHA,Augustine Boakye,Midfield
277336,GHA,Benjamin Asare,Goalkeeper
6389,GHA,Brandon Thomas-Asante,Offence
262187,GHA,Caleb Yirenkyi,Midfield
193596,GHA,Christopher Bonsu Baah,Offence
7442,GHA,Derrick Luckassen,Defence
8470,GHA,Elisha Owusu,Midfield
184726,GHA,Ernest Nuamah,Offence
16340,GHA,Gideon Mensah,Defence
32629,GHA,Iñaki Williams,Offence
128235,GHA,Jerome Opoku,Defence
191269,GHA,Jonas Adjei Adjetey,Defence
7984,GHA,Jordan Ayew,Offence
137390,GHA,Joseph Anang,Goalkeeper
142140,GHA,Kamal Deen Sulemana,Offence
202896,GHA,Kojo Peprah Oppong,Defence
79960,GHA,Kwasi Sibo,Midfield
495,GHA,Lawrence Ati-Zigi,Goalkeeper
153924,GHA,Marvin Senaya,Defence
218805,GHA,Prince Adu,Offence
110,GHA,Thomas Partey,Midfield
154781,HAI,Alexandre Pierre,Goalkeeper
250006,HAI,Carl Sainté,Midfield
532,HAI,Carlens Arcus,Defence
177049,HAI,Danley Jean Jacques,Midfield
77609,HAI,Derrick Etienne,Midfield
182788,HAI,Dominique Simon,Midfield
5380,HAI,Duckens Nazon,Offence
253605,HAI,Duke LaCroix,Defence
74870,HAI,Frantzdy Pierrot,Offence
253661,HAI,Garven-Michee Metusala,Defence
8845,HAI,Hannes Delcroix,Defence
776,HAI,Jean-Kevin Duverne,Defence
788,HAI,Jean-Ricner Bellegarde,Midfield
170624,HAI,Johny Placide,Goalkeeper
152737,HAI,Josué Casimir,Offence
295199,HAI,Josué Duverger,Goalkeeper
256398,HAI,Keeto Thermoncy,Defence
106726,HAI,Lenny Joseph,Offence
125787,HAI,Louicius Don Deedson,Offence
158228,HAI,Martin Expérience,Defence
166220,HAI,Ricardo Adé,Defence
152801,HAI,Ruben Providence,Offence
291152,HAI,Wilguens Paugain,Defence
83599,HAI,Wilson Isidor,Offence
295197,HAI,Woodensky Pierre,Midfield
82421,HAI,Yassin Fortune,Offence
119530,IRN,Ali Alipour,Offence
295339,IRN,Ali Nemati,Defence
171319,IRN,Alireza Beiranvand,Goalkeeper
3819,IRN,Alireza Jahanbakhsh,Offence
254746,IRN,Amir Hosseinzadeh,Offence
295334,IRN,Amir Razzaghinia,Midfield
244158,IRN,Ariya Yousefi,Midfield
295340,IRN,Danial Eiri,Defence
33634,IRN,Dennis Eckert,Offence
3800,IRN,Ehsan Hajsafi,Defence
3797,IRN,Hossein Hosseini,Goalkeeper
231884,IRN,Hossein Kanaanizadegan,Defence
249672,IRN,Medhi Ghayedi,Midfield
3820,IRN,Mehdi Taremi,Offence
189724,IRN,Mehdi Torabi,Midfield
3811,IRN,Milad Mohammadi,Defence
189790,IRN,Mohammad Ghorbani,Midfield
172641,IRN,Mohammad Mohebi,Offence
103099,IRN,Payam Niazmand,Goalkeeper
3804,IRN,Ramin Rezaeian,Defence
231900,IRN,Rouzbeh Cheshmi,Defence
3821,IRN,Saeid Ezatolahi,Midfield
249673,IRN,Saleh Hardani,Defence
179746,IRN,Saman Ghoddos,Offence
152180,IRN,Shahriar Moghanlou,Offence
231889,IRN,Shojae Khalilzadeh,Defence
236206,IRQ,Ahmed Basil,Goalkeeper
167462,IRQ,Ahmed Qasem,Midfield
236195,IRQ,Ahmed Yahya,Defence
117481,IRQ,Aimar Sher,Midfield
253190,IRQ,Akam Hashem,Defence
177008,IRQ,Ali Al-Hamadi,Offence
218847,IRQ,Ali Jassim El-Aibi,Offence
295189,IRQ,Ali Yousif,Offence
31373,IRQ,Amir Al Ammari,Midfield
117153,IRQ,Aymen Hussein,Offence
132162,IRQ,Fahad Talib,Goalkeeper
236201,IRQ,Frans Putros,Defence
129968,IRQ,Hussein Ali,Defence
123067,IRQ,Ibrahim Bayesh,Midfield
117137,IRQ,Jalal Hassan,Goalkeeper
35515,IRQ,Kevin Yakob,Midfield
249877,IRQ,Manaf Younis,Defence
193630,IRQ,Marko Farji,Offence
152724,IRQ,Merchas Doski,Defence
221753,IRQ,Mohanad Ali,Offence
236191,IRQ,Mustafa Saadoun,Defence
210821,IRQ,Rebin Sulaka,Defence
165049,IRQ,Youssef Amyn,Midfield
295321,IRQ,Zaid Ismail,Midfield
249839,IRQ,Zaid Tahseen,Defence
176642,IRQ,Zidane Iqbal,Midfield
249669,JOR,Abdallah Al Fakhouri,Goalkeeper
244110,JOR,Abdallah Naseeb,Defence
295350,JOR,Ali Azaizeh,Offence
244174,JOR,Ali Olwan,Offence
295352,JOR,Amer Jamous,Midfield
295867,JOR,Anas Badawi,Defence
116915,JOR,Ehsan Haddad,Defence
295354,JOR,Husam Abu Dahab,Defence
249756,JOR,Ibrahim Saadeh,Midfield
280317,JOR,Ibrahim Sabra,Offence
116928,JOR,Mahmoud Al Mardi,Offence
244241,JOR,Mohammad Abu Hasheesh,Midfield
249762,JOR,Mohammad Abu Zrayq,Offence
202806,JOR,Mohammad Abualnadi,Defence
